file_no,question,question_type,question_subtype,answer_type
1130,What are the women's thoughts on the government?,retrieval,thoughts,compare
945,Describe the proportion of Americans who think economic relations between the US and China are bad?,distribution,proportion,browse
1594,Describe the problems about religious violence that Bangladesh is experiencing.,retrieval,problems,discover
163,What is the opinion of people regarding national institutions in their country?,retrieval,opinions,browse
1660,What are the current thoughts on direct democracy?,retrieval,thoughts,browse
1690,What is the distribution of Republicans and Democrafts' different feeling about politics ?,distribution,distribution,distribution
336,What is the opinion of the Blacks and White people towards police treatment of various ethnic and racial groups ?,retrieval,opinions,distribution
59,Describe the trend in the main motivation of voters who voted for Mitt Romney.,correlation,trends,trends
1118,Describe the most common forms of harassment that young people encounter online?,retrieval,types,distribution
2179,Describe the Muslim population in the U.S.?,distribution,distribution,discover
1077,What were expectations of Democrats that Trump would not set a high moral standard for the presidency?,retrieval,expectations,distribution
1514,Does people agree with Donald Trump on issues facing the country?,retrieval,agree,browse
2119,What are the less commonly played games among adults who play video games often or sometimes?,retrieval,types,compare
449,Describe the trend of multiracial Americans towards people of different origins?,correlation,trends,distribution
855,What opinion do majorities have about right to allow Americans to have medical data permanently deleted in?,retrieval,opinions,browse
1951,What opinion do men and women have about who have access to a fully loaded gun that is accessible to them all the time?,retrieval,opinions,compare
1941,What opinion do U.S. adults have about municipal broadband networks should not be allowed?,retrieval,opinions,browse
2243,write about views across middle East of president Bashar?,retrieval,views,distribution
1532,What perceptions do partisans have on foreign trade?,retrieval,perceptions,browse
1847,What is the situation of Americans losing a job as a result of workforce automation?,retrieval,situations,browse
1850,What is the world's view on the worldwide economic leader country?,retrieval,views,distribution
437,How do Americans' see the coronavirus statistics?,retrieval,views,discover
1694,What do Americans think about  doctors will use computer programs to diagnose and treat most diseases in the next 20 years?,retrieval,thoughts,browse
1587,Describe the share of children living with married parents.,retrieval,share,distribution
1314,What benefits are in the use of mobile phones?,retrieval,benefits,browse
1397,Describe how U.S. adult get news from?,distribution,sources,trends
786,What opinion do Democrats and Republicans think about the ordinary people across the country and the coronavirus outbreak?,retrieval,opinions,browse
873,What is the difference of view of Taiwanese about mainland China?,correlation,differences,compare
739,How is the voting situation of Asian immigrants in California ?,retrieval,situations,browse
819,What is the opinion of Americans about America's economic role in the world?,retrieval,opinions,browse
1243,Describe the election in voting centre?,retrieval,situations,distribution
1457,Could math be considered a step for the STEM field?,retrieval,views,browse
1006,Describe the confidence in Democrats in Congress about an impeachment,retrieval,views,browse
1844,How are U.S adults contributing money to an organization that takes a position on gun policy?,retrieval,shares,distribution
586,"For Republicans and Democrats, which is the biggest partner of between countries?",correlation,compare,browse
1306,What is the view of Germans about having U.S. or China as a world leading power?,retrieval,views,compare
941,Describe American views about immigrants staying legally in the country,retrieval,views,browse
348,What is the rate of U.S. contributions to WHO ?,correlation,trends,discover
2197,What people in Russia consider to be the most important historical events of the past century?,retrieval,types,discover
1028,What is the trend among Americans regarding legal rights between married and unmarried couples?,correlation,trends,compare
1163,What are concerns against immigrants?,retrieval,concerns,browse
463,Describe the proportion of Trump supporters who say they are very conservative who prefer to vote in person on November 3rd?,distribution,proportion,distribution
1231,What are views of Americans on affects of climate change?,retrieval,views,distribution
1160,In what ways Americans have expressed their feelings about the issue of guns?,retrieval,feelings,distribution
2183,Describe the share of Latinos who speak Spanish in the U.S.,retrieval,share,browse
1541,What's the proportion of partisans who believe it's possible to cut regulations and protect the quality of the air and water?,distribution,proportion,compare
653,What is the opinion of the American adults about house of worship?,retrieval,opinions,browse
573,Describe the proportion of highly politically knowledgeable Democrats who have ever heard of QAnon?,distribution,proportion,compare
647,What do Americans think about groups that have influence in the economy?,retrieval,thoughts,distribution
595,What activities does U.S. adults think about doing comfortably during coronavirus outbreak ?,retrieval,thoughts,distribution
890,What opinion do different regional Germans have about globalization? ,retrieval,opinions,distribution
1251,Describe the major religion in Ukraine and Russia?,retrieval,shares,browse
1558,What is the opinion in Ireland and those 14 other Western European countries?,retrieval,opinions,browse
1348,What is the belief among Europeans concerning their financial situation over the past 20 years?,retrieval,beliefs,discover
1300,Compare Americans and Germans views about the world economic leader?,correlation,compare,compare
1308,What are Americans and Germans views about U.S. government respect to civil liberties?,retrieval,views,browse
470,What is the opinion of the public about changing fundamental design and structure of American government ?,retrieval,opinions,browse
1806,How are familys' income comparing with the cost of living?,correlation,compare,distribution
1450,Which country has the highest rate of emigrants?,correlation,trends,browse
800,What is the opinion of the Americans about their goverments in limiting social contact at work ?,retrieval,opinions,distribution
281,What is the opinion of the partisans about increasing presidential power?,retrieval,opinions,trends
932,How Black Americans prefer to get the news?,retrieval,preferences,distribution
732,What does morality mean for Democrats?,retrieval,views,compare
715,"How is the trend between Republicans and Democrats on measles, mumps and rubella vaccines?",correlation,trends,browse
832,What is the opinion of the Democrats about considering a committed relationship with someone who voted for Donald Trump ?,retrieval,opinions,browse
951,Describe liberal Democrats feelings about having several 2020 candidates,retrieval,feelings,compare
2158,What views do people have on the future of automation?,retrieval,views,compare
1144,What do Sub-Saharan Africans commonly use the internet for?,retrieval,types,distribution
1617,what americans say about the cost of medical treatments ?,retrieval,views,distribution
1338,What are the major motives for people to accept immigrants?,retrieval,motives,distribution
1037,How people of different generations perceive the legality of marijuana?,retrieval,perceptions,distribution
1991,How is the education level of Asians in US?,retrieval,level,browse
455,Describe the proportion of Republicans and independents who say that social media platforms are at least unlikely to censor political views they find questionable?,distribution,proportion,browse
584,What is the opinion of younger generation about U.S. relationship with China and Germany ?,retrieval,opinions,compare
147,What is the public's opinion on the US role in solving world problems?,retrieval,opinions,trends
160,Describe the proportion of those supporting a way for undocumented migrants to gain legal status if certain requirements are met.,distribution,proportion,browse
1111,How do females fare as corporate leaders compared to males?,correlation,compare,distribution
750,"What is the opinion of White, Black and Hispanic Democrats about Sander's political view ?",retrieval,opinions,compare
1915,What is the opinion about the U.S. Muslim adults?,retrieval,opinions,browse
1117,What young people think about the way that politicans are dealing with cyberbullying?,retrieval,thoughts,browse
859,"Among blacks, Hispanics and whites, which groups found it difficult to pay their monthly bills after the COVID-19 economic crisis?",correlation,compare,compare
952,What Warren and supporters think about rate policy positions?,retrieval,thoughts,compare
2063,What are some of the cited reasons for Americans being harassed online?,retrieval,types,distribution
1331,What are partisans' thoughts on the border wall?,retrieval,thoughts,distribution
1219,What is public approval for trade?,retrieval,level,browse
1215,Compare the frequency of socializing with friends between teens who are constantly online and teens less frequently online?,correlation,compare,distribution
628,What are the various reasons behind homeowners considering solar panels at their home ?,retrieval,types,browse
1560,What does both Five Star and League supporters almost agree on?,retrieval,views,compare
606,How do Americans and Germans view about the greater cooperation with each other?,retrieval,views,compare
164,Describe the trend in share of Latino among voters and eligible voters since 2006.,correlation,trends,trends
106,Describe how Americans with employer-provided coverage view different types of health insurance plans?,retrieval,views,browse
1040,Describe the proportion of Americans who say they understand 'very much' of the current laws and regulations in place to protect the privacy of their data?,distribution,proportion,browse
1599,How trustworthy are technology companies considered by the public?,retrieval,level,distribution
2006,What is the distribution of cloture votes in different positions since 1991?,distribution,distribution,trends
2204,Explain the distribution of people who know a transgender person?,distribution,distribution,distribution
1978,Compare opinions of men and women about why someone is rich?,correlation,compare,compare
617,"What are the differences of religious teens compared between parts of the country, relative to praying before eating?",correlation,differences,compare
2162,Describe the frequency that Americans see fake news online?,retrieval,level,distribution
1564,What is the usage amount of internet by U.S. teens?,retrieval,level,distribution
329,What is the expectation of the Americans about U.S. influence in the world affairs after the pandemic ?,retrieval,expectations,browse
